Wavelength,Trace A,Trace B
1536.83,5.04E-06,1.89E-06
1536.93,5.08E-06,1.90E-06
1537.03,5.11E-06,1.91E-06
1537.13,5.14E-06,1.92E-06
1537.23,5.18E-06,1.94E-06
1537.33,5.21E-06,1.95E-06
1537.43,5.24E-06,1.95E-06
1537.53,5.28E-06,1.97E-06
1537.63,5.31E-06,1.98E-06
1537.73,5.33E-06,1.99E-06
1537.83,5.37E-06,1.99E-06
1537.93,5.40E-06,2.02E-06
1538.03,5.44E-06,2.03E-06
1538.13,5.46E-06,2.04E-06
1538.23,5.50E-06,2.05E-06
1538.33,5.55E-06,2.07E-06
1538.43,5.57E-06,2.09E-06
1538.53,5.61E-06,2.09E-06
1538.63,5.64E-06,2.10E-06
1538.73,5.69E-06,2.12E-06
1538.83,5.71E-06,2.13E-06
1538.93,5.74E-06,2.14E-06
1539.03,5.78E-06,2.16E-06
1539.13,5.82E-06,2.17E-06
1539.23,5.86E-06,2.18E-06
1539.33,5.89E-06,2.19E-06
1539.43,5.93E-06,2.21E-06
1539.53,5.97E-06,2.22E-06
1539.63,6.00E-06,2.24E-06
1539.73,6.04E-06,2.25E-06
1539.83,6.07E-06,2.27E-06
1539.93,6.12E-06,2.28E-06
1540.03,6.15E-06,2.30E-06
1540.13,6.20E-06,2.30E-06
1540.23,6.23E-06,2.32E-06
1540.33,6.27E-06,2.33E-06
1540.43,6.31E-06,2.34E-06
1540.53,6.35E-06,2.36E-06
1540.63,6.39E-06,2.38E-06
1540.73,6.43E-06,2.39E-06
1540.83,6.47E-06,2.41E-06
1540.93,6.52E-06,2.42E-06
1541.03,6.55E-06,2.43E-06
1541.13,6.61E-06,2.46E-06
1541.23,6.65E-06,2.47E-06
1541.33,6.69E-06,2.49E-06
1541.43,6.73E-06,2.50E-06
1541.53,6.78E-06,2.52E-06
1541.63,6.83E-06,2.53E-06
1541.73,6.87E-06,2.54E-06
1541.83,6.91E-06,2.57E-06
1541.93,6.96E-06,2.58E-06
1542.03,7.01E-06,2.60E-06
1542.13,7.05E-06,2.62E-06
1542.23,7.10E-06,2.63E-06
1542.33,7.14E-06,2.65E-06
1542.43,7.18E-06,2.66E-06
1542.53,7.23E-06,2.67E-06
1542.63,7.27E-06,2.70E-06
1542.73,7.30E-06,2.70E-06
1542.83,7.34E-06,2.72E-06
1542.93,7.38E-06,2.73E-06
1543.03,7.42E-06,2.76E-06
1543.13,7.46E-06,2.77E-06
1543.23,7.50E-06,2.78E-06
1543.33,7.54E-06,2.81E-06
1543.43,7.59E-06,2.81E-06
1543.53,7.64E-06,2.83E-06
1543.63,7.68E-06,2.86E-06
1543.73,7.73E-06,2.86E-06
1543.83,7.75E-06,2.88E-06
1543.93,7.81E-06,2.89E-06
1544.03,7.86E-06,2.91E-06
1544.13,7.90E-06,2.93E-06
1544.23,7.93E-06,2.95E-06
1544.33,8.00E-06,2.96E-06
1544.43,8.04E-06,2.98E-06
1544.53,8.08E-06,3.00E-06
1544.63,8.12E-06,3.01E-06
1544.73,8.17E-06,3.03E-06
1544.83,8.21E-06,3.05E-06
1544.93,8.26E-06,3.06E-06
1545.03,8.30E-06,3.08E-06
1545.13,8.34E-06,3.10E-06
1545.23,8.39E-06,3.12E-06
1545.33,8.43E-06,3.14E-06
1545.43,8.49E-06,3.15E-06
1545.53,8.54E-06,3.16E-06
1545.63,8.58E-06,3.18E-06
1545.73,8.64E-06,3.21E-06
1545.83,8.68E-06,3.22E-06
1545.93,8.73E-06,3.25E-06
1546.03,8.78E-06,3.27E-06
1546.13,8.82E-06,3.29E-06
1546.23,8.87E-06,3.30E-06
1546.33,8.92E-06,3.33E-06
1546.43,8.97E-06,3.34E-06
1546.53,9.03E-06,3.37E-06
1546.63,9.07E-06,3.38E-06
1546.73,9.12E-06,3.40E-06
1546.83,9.18E-06,3.42E-06
1546.93,9.22E-06,3.45E-06
1547.03,9.28E-06,3.46E-06
1547.13,9.32E-06,3.49E-06
1547.23,9.38E-06,3.51E-06
1547.33,9.44E-06,3.53E-06
1547.43,9.49E-06,3.54E-06
1547.53,9.55E-06,3.56E-06
1547.63,9.59E-06,3.58E-06
1547.73,9.65E-06,3.61E-06
1547.83,9.71E-06,3.62E-06
1547.93,9.75E-06,3.64E-06
1548.03,9.81E-06,3.66E-06
1548.13,9.85E-06,3.67E-06
1548.23,9.91E-06,3.69E-06
1548.33,9.96E-06,3.71E-06
1548.43,1.00E-05,3.73E-06
1548.53,1.01E-05,3.76E-06
1548.63,1.01E-05,3.78E-06
1548.73,1.02E-05,3.81E-06
1548.83,1.02E-05,3.82E-06
1548.93,1.03E-05,3.85E-06
1549.03,1.03E-05,3.86E-06
1549.13,1.04E-05,3.89E-06
1549.23,1.04E-05,3.90E-06
1549.33,1.05E-05,3.93E-06
1549.43,1.06E-05,3.96E-06
1549.53,1.06E-05,3.97E-06
1549.63,1.07E-05,4.00E-06
1549.73,1.07E-05,4.02E-06
1549.83,1.08E-05,4.03E-06
1549.93,1.08E-05,4.06E-06
1550.03,1.09E-05,4.08E-06
1550.13,1.09E-05,4.09E-06
1550.23,1.10E-05,4.11E-06
1550.33,1.10E-05,4.14E-06
1550.43,1.11E-05,4.15E-06
1550.53,1.11E-05,4.18E-06
1550.63,1.12E-05,4.19E-06
1550.73,1.13E-05,4.21E-06
1550.83,1.13E-05,4.23E-06
1550.93,1.14E-05,4.25E-06
1551.03,1.14E-05,4.28E-06
1551.13,1.15E-05,4.29E-06
1551.23,1.15E-05,4.32E-06
1551.33,1.16E-05,4.34E-06
1551.43,1.16E-05,4.36E-06
1551.53,1.17E-05,4.39E-06
1551.63,1.17E-05,4.41E-06
1551.73,1.18E-05,4.43E-06
1551.83,1.18E-05,4.46E-06
1551.93,1.19E-05,4.48E-06
1552.03,1.20E-05,4.51E-06
1552.13,1.20E-05,4.53E-06
1552.23,1.21E-05,4.56E-06
1552.33,1.21E-05,4.58E-06
1552.43,1.22E-05,4.60E-06
1552.53,1.23E-05,4.63E-06
1552.63,1.23E-05,4.65E-06
1552.73,1.24E-05,4.68E-06
1552.83,1.24E-05,4.71E-06
1552.93,1.25E-05,4.73E-06
1553.03,1.26E-05,4.75E-06
1553.13,1.26E-05,4.78E-06
1553.23,1.27E-05,4.80E-06
1553.33,1.28E-05,4.83E-06
1553.43,1.28E-05,4.86E-06
1553.53,1.29E-05,4.89E-06
1553.63,1.30E-05,4.92E-06
1553.73,1.30E-05,4.94E-06
1553.83,1.31E-05,4.97E-06
1553.93,1.31E-05,5.00E-06
1554.03,1.32E-05,5.03E-06
1554.13,1.33E-05,5.06E-06
1554.23,1.33E-05,5.10E-06
1554.33,1.34E-05,5.13E-06
1554.43,1.35E-05,5.14E-06
1554.53,1.35E-05,5.17E-06
1554.63,1.36E-05,5.19E-06
